,Status checking,Duration in month,Credit history,Purpose,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
0,0,6,4,Radio_TV,1169,4,4,4,0,4,0,67,2,1,2,2,1,1,1,1,0,0,1,0
1,1,48,2,Radio_TV,5951,0,2,2,0,2,0,22,2,1,1,2,1,0,1,2,0,1,0,0
2,3,12,4,Education,2096,0,3,2,0,3,0,49,2,1,1,1,2,0,1,1,0,0,1,0
3,0,42,2,Furniture,7882,0,3,2,2,4,1,45,2,2,1,2,2,0,1,1,0,0,1,0
4,0,24,3,Car New,4870,0,2,3,0,4,3,53,2,2,2,2,2,0,1,2,0,0,1,0
5,3,36,2,Education,9055,4,2,2,0,4,3,35,2,2,1,1,2,1,1,1,0,0,1,0
6,3,24,2,Furniture,2835,2,4,3,0,4,1,53,2,1,1,2,1,0,1,1,0,0,1,0
7,1,36,2,Car Used,6948,0,2,2,0,2,2,35,2,0,1,3,1,1,1,1,0,0,1,0
8,3,12,2,Radio_TV,3059,3,3,2,0,4,0,61,2,1,1,1,1,0,1,1,1,0,0,0
9,1,30,4,Car New,5234,0,0,4,0,2,2,28,2,1,2,3,1,0,1,2,0,0,0,1
10,1,12,2,Car New,1295,0,1,3,0,1,2,25,2,0,1,2,1,0,1,2,0,1,0,0
11,0,48,2,Business,4308,0,1,3,0,4,1,24,2,0,1,2,1,0,1,2,0,1,0,0
12,1,12,2,Radio_TV,1567,0,2,1,0,1,2,22,2,1,1,2,1,1,1,1,0,1,0,0
13,0,24,4,Car New,1199,0,4,4,0,4,2,60,2,1,2,1,1,0,1,2,0,0,1,0
14,0,15,2,Car New,1403,0,2,2,0,4,2,28,2,0,1,2,1,0,1,1,0,1,0,0
15,0,24,2,Radio_TV,1282,1,2,4,0,2,2,32,2,1,1,1,1,0,1,2,0,1,0,0
16,3,24,4,Radio_TV,2424,4,4,4,0,4,1,53,2,1,2,2,1,0,1,1,0,0,1,0
17,0,30,0,Business,8072,4,1,2,0,3,2,25,0,1,3,2,1,0,1,1,0,0,1,0
18,1,24,2,Car Used,12579,0,4,4,0,2,3,44,2,2,1,3,1,1,1,2,0,1,0,0
19,3,24,2,Radio_TV,3430,2,4,3,0,2,2,31,2,1,1,2,2,1,1,1,0,0,1,0
20,3,9,4,Car New,2134,0,2,4,0,4,2,48,2,1,3,2,1,1,1,1,0,0,1,0
21,0,6,2,Radio_TV,2647,2,2,2,0,3,0,44,2,0,1,2,2,0,1,1,0,0,1,0
22,0,10,4,Car New,2241,0,1,1,0,3,0,48,2,0,2,1,2,0,0,1,0,0,1,0
23,1,12,4,Car Used,1804,1,1,3,0,4,1,44,2,1,1,2,1,0,1,1,0,0,1,0
24,3,10,4,Furniture,2069,4,2,2,0,1,2,26,2,1,2,2,1,0,0,1,0,0,0,1
25,0,6,2,Furniture,1374,0,2,1,0,2,0,36,0,1,1,1,1,1,1,1,0,0,1,0
26,3,6,0,Radio_TV,426,0,4,4,0,4,2,39,2,1,1,1,1,0,1,1,0,0,0,1
27,2,12,1,Radio_TV,409,3,2,3,0,3,0,42,2,0,2,2,1,0,1,1,0,1,0,0
28,1,7,2,Radio_TV,2415,0,2,3,2,2,0,34,2,1,1,2,1,0,1,1,0,0,1,0
29,0,60,3,Business,6836,0,4,3,0,4,3,63,2,1,2,2,1,1,1,2,0,0,1,0
30,1,18,2,Business,1913,3,1,3,0,3,0,36,0,1,1,2,1,1,1,1,0,0,0,1
31,0,24,2,Furniture,4020,0,2,2,0,2,2,27,1,1,1,2,1,0,1,1,0,0,1,0
32,1,18,2,Car New,5866,1,2,2,0,2,2,30,2,1,2,2,1,1,1,1,0,0,1,0
33,3,12,4,Business,1264,4,4,4,0,4,3,57,2,0,1,1,1,0,1,1,0,0,1,0
34,2,12,2,Furniture,1474,0,1,4,0,1,1,33,0,1,1,3,1,1,1,1,0,1,0,0
35,1,45,4,Radio_TV,4746,0,1,4,0,2,1,25,2,1,2,1,1,0,1,2,0,0,1,0
36,3,48,4,Education,6110,0,2,1,0,3,3,31,0,2,1,2,1,1,1,1,0,0,1,0
37,2,18,2,Radio_TV,2100,0,2,4,1,2,0,37,1,1,1,2,1,0,1,2,0,0,1,0
38,2,10,2,Appliance,1225,0,2,2,0,2,2,37,2,1,1,2,1,1,1,1,0,0,1,0
39,1,9,2,Radio_TV,458,0,2,4,0,3,0,24,2,1,1,2,1,0,1,1,0,0,1,0
40,3,30,2,Radio_TV,2333,2,4,4,0,2,2,30,0,1,1,3,1,0,1,1,0,0,1,0
