Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
2,10,2,1225,0,2,2,0,2,2,37,2,1,1,2,1,1,1,1,0,0,1,0
3,15,2,1262,2,3,4,0,3,1,36,2,1,2,2,1,1,1,1,0,0,1,0
1,12,4,1424,0,3,4,0,3,1,26,2,1,1,2,1,0,1,1,0,0,1,0
0,15,2,1275,4,2,4,0,2,2,24,2,0,1,2,1,0,1,2,0,1,0,0
3,9,2,1236,0,1,1,0,4,0,23,2,0,1,2,1,1,1,1,0,1,0,0
0,6,2,343,0,1,4,0,1,0,27,2,1,1,2,1,0,1,1,0,1,0,0
0,18,2,1217,0,2,4,0,3,0,47,2,1,1,1,1,1,1,2,0,0,0,1
0,12,2,741,1,0,4,0,3,1,22,2,1,1,2,1,0,1,2,0,1,0,0
1,36,1,3990,4,1,3,0,2,3,29,0,1,1,0,1,0,1,1,0,1,0,0
0,48,2,3051,0,2,3,0,4,2,54,2,1,1,2,1,0,1,2,0,0,1,0
3,6,2,1338,2,2,1,0,4,0,62,2,1,1,2,1,0,1,1,1,0,0,0
3,15,2,874,4,1,4,0,1,0,24,2,1,1,2,1,0,1,1,0,1,0,0
