Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
0,48,2,4308,0,1,3,0,4,1,24,2,0,1,2,1,0,1,2,0,1,0,0
0,30,0,8072,4,1,2,0,3,2,25,0,1,3,2,1,0,1,1,0,0,1,0
0,60,3,6836,0,4,3,0,4,3,63,2,1,2,2,1,1,1,2,0,0,1,0
1,18,2,1913,3,1,3,0,3,0,36,0,1,1,2,1,1,1,1,0,0,0,1
3,12,4,1264,4,4,4,0,4,3,57,2,0,1,1,1,0,1,1,0,0,1,0
1,9,2,1391,0,2,2,0,1,0,27,0,1,1,2,1,1,1,1,0,0,0,1
1,36,0,1953,0,4,4,0,4,3,61,2,2,1,3,1,1,1,2,0,0,1,0
1,48,0,14421,0,2,2,0,2,2,25,2,1,1,2,1,1,1,2,0,0,1,0
1,42,4,5954,0,3,2,0,1,0,41,0,1,2,1,1,0,1,1,0,1,0,0
3,18,2,1568,1,2,3,0,4,1,24,2,0,1,1,1,0,1,1,0,1,0,0
3,12,4,1412,0,2,4,2,2,0,29,2,1,2,3,1,1,1,1,0,1,0,0
1,54,0,15945,0,1,3,0,4,3,58,2,0,1,2,1,1,1,2,0,0,1,0
1,18,2,2622,1,2,4,0,4,2,34,2,1,1,2,1,0,1,1,0,0,1,0
1,14,2,1410,2,4,1,0,2,0,35,2,1,1,2,1,1,1,1,0,0,0,1
1,6,3,1449,1,4,1,0,2,2,31,0,1,2,2,2,0,1,1,1,0,0,0
1,48,1,3566,1,3,4,0,2,2,30,2,1,1,2,1,0,1,1,0,0,1,0
1,24,3,6967,1,3,4,0,4,2,36,2,0,1,3,1,1,1,1,0,0,1,0
1,24,4,1935,0,4,4,0,4,0,31,2,1,2,2,1,1,1,2,1,0,0,0
3,36,3,9572,0,1,1,0,1,2,28,2,1,2,2,1,0,1,2,1,0,0,0
1,36,3,4455,0,2,2,0,2,0,30,1,1,2,3,1,1,1,2,1,0,0,0
3,24,2,4591,3,2,2,0,3,1,54,2,1,3,3,1,1,1,2,0,0,1,0
1,48,0,3844,1,3,4,0,4,3,34,2,2,1,1,2,0,1,2,0,0,1,0
1,27,2,3915,0,2,4,0,2,2,36,2,1,1,2,2,1,1,2,0,0,1,0
3,27,3,5117,0,3,3,0,4,2,26,2,1,2,2,1,0,1,1,0,0,1,0
0,24,2,6568,0,2,2,0,2,2,21,1,1,1,1,1,0,1,1,0,0,0,1
0,27,0,5293,0,0,2,0,4,1,50,1,1,2,2,1,1,1,2,0,0,1,0
2,30,3,1908,0,4,4,0,4,0,66,2,1,1,3,1,1,1,2,0,0,1,0
