Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
0,24,3,4870,0,2,3,0,4,3,53,2,2,2,2,2,0,1,2,0,0,1,0
1,30,4,5234,0,0,4,0,2,2,28,2,1,2,3,1,0,1,2,0,0,0,1
1,12,2,1295,0,1,3,0,1,2,25,2,0,1,2,1,0,1,2,0,1,0,0
0,24,4,1199,0,4,4,0,4,2,60,2,1,2,1,1,0,1,2,0,0,1,0
0,15,2,1403,0,2,2,0,4,2,28,2,0,1,2,1,0,1,1,0,1,0,0
3,9,4,2134,0,2,4,0,4,2,48,2,1,3,2,1,1,1,1,0,0,1,0
0,10,4,2241,0,1,1,0,3,0,48,2,0,2,1,2,0,0,1,0,0,1,0
1,18,2,5866,1,2,2,0,2,2,30,2,1,2,2,1,1,1,1,0,0,1,0
3,11,4,1393,0,1,4,0,4,2,35,2,1,2,3,1,0,1,1,0,1,0,0
3,11,4,7228,0,2,1,0,4,1,39,2,1,2,1,1,0,1,1,0,0,1,0
1,36,3,2225,0,4,4,0,4,3,57,0,2,2,2,1,1,1,2,0,0,1,0
3,6,1,783,4,2,1,2,2,0,26,1,1,1,1,2,0,1,1,0,0,1,0
2,18,2,1961,0,4,3,0,2,2,23,2,1,1,3,1,0,1,1,0,1,0,0
1,12,2,1007,3,2,4,0,1,0,22,2,1,1,2,1,0,1,1,0,0,0,1
0,18,2,2249,1,3,4,0,3,2,30,2,1,1,3,2,1,1,1,0,0,1,0
1,12,2,1318,3,4,4,0,4,0,54,2,1,1,2,1,1,1,1,0,0,1,0
3,24,2,1469,1,4,4,0,4,0,41,2,0,1,1,1,0,1,1,0,0,0,1
3,18,1,6458,0,4,2,0,4,3,39,0,1,2,3,2,1,1,2,0,0,1,0
1,12,2,6078,0,3,2,0,2,2,32,2,1,1,2,1,0,1,1,0,0,1,0
1,18,2,6260,0,3,3,0,3,0,28,2,0,1,1,1,0,1,1,0,0,1,0
3,36,4,7855,0,2,4,0,2,0,25,1,1,2,2,1,1,1,2,0,1,0,0
1,12,4,2366,2,3,3,0,3,2,36,2,1,1,3,1,1,1,1,1,0,0,0
2,10,4,781,0,4,4,0,4,3,63,2,2,2,2,1,1,1,1,0,0,1,0
0,12,4,2121,0,2,4,0,2,1,30,2,1,2,2,1,0,1,1,0,0,1,0
0,12,4,3499,0,2,3,1,2,0,29,2,1,2,2,1,0,1,2,0,1,0,0
1,48,2,8487,4,3,1,0,2,2,24,2,1,1,2,1,0,1,1,0,1,0,0
2,6,2,709,3,1,2,0,2,0,27,2,1,1,0,1,0,0,1,0,0,0,1
0,6,4,860,0,4,1,0,4,3,39,2,1,2,2,1,1,1,1,0,1,0,0
3,12,4,682,1,3,4,0,3,2,51,2,1,2,2,1,1,1,1,0,1,0,0
1,24,2,3512,1,3,2,0,3,2,38,0,1,2,2,1,1,1,1,0,0,1,0
3,18,4,1055,0,1,4,0,1,1,30,2,1,2,2,1,0,1,1,0,1,0,0
1,10,2,7308,0,0,2,0,4,3,70,0,2,1,3,1,1,1,1,0,0,1,0
3,36,2,909,2,4,4,0,4,1,36,2,1,1,2,1,0,1,1,0,0,1,0
0,15,0,950,0,4,4,0,3,2,33,2,0,2,2,2,0,1,2,0,0,1,0
0,21,4,571,0,4,4,0,4,0,65,2,1,2,2,1,0,1,1,0,0,1,0
0,21,1,1647,4,2,4,0,2,1,40,2,1,2,1,2,0,1,2,0,0,1,0
1,18,4,884,0,4,4,0,4,2,36,0,1,1,2,2,1,1,2,0,0,1,0
1,16,4,1175,0,0,2,0,3,2,68,2,2,3,0,1,1,1,1,0,0,1,0
0,12,2,1168,0,2,4,0,3,0,27,2,1,1,1,1,0,1,1,0,0,0,1
3,12,4,1495,0,4,4,0,1,0,38,2,1,2,1,2,0,1,1,0,0,1,0
3,10,2,1364,0,2,2,0,4,2,64,2,1,1,2,1,1,1,1,0,1,0,0
3,9,2,2507,2,4,2,0,4,3,51,2,2,1,1,1,0,1,1,0,0,1,0
1,6,2,14555,4,0,1,0,2,1,23,2,1,1,0,1,1,1,2,0,0,1,0
0,24,2,915,4,4,4,0,2,2,29,0,1,1,2,1,0,1,2,0,1,0,0
3,6,0,1204,1,2,4,0,1,3,35,0,0,1,2,1,0,0,1,0,0,1,0
0,6,4,666,3,3,3,0,4,0,39,2,1,2,1,1,1,1,1,0,1,0,0
1,30,2,2150,0,2,4,2,2,3,24,0,1,1,2,1,0,1,2,0,1,0,0
0,18,4,5302,0,4,2,0,4,3,36,2,2,3,3,1,1,1,1,0,0,1,0
3,10,4,1231,0,4,3,0,4,0,32,2,1,2,1,2,0,0,1,0,0,1,0
0,14,2,8978,0,4,1,0,4,1,45,2,1,1,3,1,1,0,2,1,0,0,0
3,18,2,2662,4,3,4,0,3,1,32,2,1,1,2,1,0,0,1,0,0,1,0
1,48,1,12169,4,0,4,1,4,3,36,2,2,1,3,1,1,1,1,0,0,1,0
1,24,4,3878,1,1,4,0,2,2,37,2,1,1,2,1,1,1,1,1,0,0,0
0,47,2,10722,0,1,1,0,1,0,35,2,1,1,1,1,1,1,1,0,1,0,0
3,10,2,1287,4,4,4,1,2,1,45,2,1,1,1,1,0,0,1,0,0,1,0
3,6,2,672,0,0,1,0,4,0,54,2,1,1,0,1,1,1,1,0,1,0,0
2,24,4,1344,4,3,4,0,2,0,37,0,1,2,1,2,0,1,2,0,0,1,0
0,10,4,1038,0,3,4,1,3,1,49,2,1,2,2,1,1,1,1,0,0,1,0
3,48,4,10127,2,2,2,0,2,3,44,0,2,1,2,1,0,1,2,0,0,1,0
1,9,2,276,0,2,4,0,4,0,22,2,0,1,1,1,0,1,1,0,0,0,1
1,12,2,685,0,3,2,0,3,2,25,0,1,1,1,1,0,1,2,0,0,0,1
2,4,2,1494,4,1,1,0,2,0,29,2,1,1,1,2,0,0,1,0,0,1,0
1,30,4,4249,0,0,4,0,2,2,28,2,1,2,3,1,0,1,2,0,0,0,1
3,18,4,1028,0,2,4,0,3,0,36,2,1,2,2,1,0,1,1,0,1,0,0
0,8,4,3398,0,3,1,0,4,0,39,2,1,2,1,1,0,0,1,0,0,1,0
3,24,2,1525,3,3,4,0,3,2,34,2,1,1,2,2,1,1,1,0,1,0,0
1,60,2,7408,1,1,4,0,2,1,24,2,1,1,3,1,0,1,2,0,1,0,0
2,10,2,3949,0,1,1,2,1,1,37,2,1,1,1,2,0,1,1,0,0,1,0
1,24,2,1246,0,1,4,0,2,0,23,1,1,1,1,1,0,1,2,0,0,1,0
2,12,3,2247,0,2,2,0,2,2,36,1,1,2,2,1,1,1,1,0,1,0,0
3,36,2,3079,4,2,4,0,4,0,36,2,1,1,2,1,0,1,1,0,0,1,0
3,60,4,13756,4,4,2,0,4,3,63,0,2,1,3,1,1,1,1,0,0,1,0
1,36,2,14318,0,4,4,0,2,3,57,2,2,1,3,1,1,1,2,0,0,1,0
3,6,4,362,1,2,4,0,4,2,52,2,1,2,1,1,0,1,1,0,1,0,0
3,22,2,1283,4,3,4,0,4,1,25,2,0,1,2,1,0,1,1,0,1,0,0
