Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
1,36,2,6948,0,2,2,0,2,2,35,2,0,1,3,1,1,1,1,0,0,1,0
1,24,2,12579,0,4,4,0,2,3,44,2,2,1,3,1,1,1,2,0,1,0,0
1,12,4,1804,1,1,3,0,4,1,44,2,1,1,2,1,0,1,1,0,0,1,0
0,30,4,6187,1,3,1,0,4,2,24,2,0,2,2,1,0,1,1,0,0,0,1
0,48,4,6143,0,4,4,0,4,3,58,1,2,2,1,1,0,1,2,0,1,0,0
0,6,2,1352,2,0,1,0,2,1,23,2,0,1,0,1,1,1,1,0,1,0,0
1,27,3,5965,0,4,1,0,2,2,30,2,1,2,3,1,1,1,1,0,0,1,0
3,18,2,3378,4,2,2,0,1,1,31,2,1,1,2,1,1,1,1,0,0,1,0
3,36,2,8133,0,2,1,0,2,1,30,0,1,1,2,1,0,1,1,0,1,0,0
0,12,4,1526,0,4,4,0,4,3,66,2,2,2,3,1,0,1,1,0,0,1,0
3,54,0,9436,4,2,2,0,2,1,39,2,1,1,1,2,0,1,1,0,0,1,0
0,12,4,1409,0,4,4,0,3,0,54,2,1,1,2,1,0,1,1,0,0,1,0
1,20,3,7057,4,3,3,0,4,1,36,0,0,2,3,2,1,1,1,0,0,1,0
3,12,2,2445,4,1,2,0,4,2,26,2,0,1,2,1,1,1,1,0,0,0,1
3,24,4,3868,0,4,4,0,2,2,41,2,0,2,3,1,1,1,1,0,1,0,0
1,12,4,1860,0,0,4,0,2,2,34,2,1,2,3,1,1,1,1,0,0,1,0
3,27,3,8613,3,2,2,0,2,2,27,2,1,2,2,1,0,1,1,0,0,1,0
1,24,4,7758,3,4,2,0,4,3,29,2,0,1,2,1,0,1,1,0,1,0,0
3,30,1,7485,4,0,4,0,1,0,53,0,1,1,3,1,1,1,2,0,1,0,0
1,9,1,5129,0,4,2,0,4,3,74,0,2,1,3,2,1,1,2,0,1,0,0
1,24,2,2760,4,4,4,0,4,3,36,0,2,1,2,1,1,1,1,0,0,1,0
0,30,4,10623,0,4,3,0,4,3,38,2,2,3,3,2,1,1,1,0,0,1,0
3,12,2,1413,3,3,3,0,2,1,55,2,1,1,2,1,0,0,1,0,0,1,0
