Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
3,12,4,2096,0,3,2,0,3,0,49,2,1,1,1,2,0,1,1,0,0,1,0
3,36,2,9055,4,2,2,0,4,3,35,2,2,1,1,2,1,1,1,0,0,1,0
3,48,4,6110,0,2,1,0,3,3,31,0,2,1,2,1,1,1,1,0,0,1,0
3,36,2,1819,0,2,4,0,4,3,37,1,2,1,2,1,1,1,2,0,0,1,0
0,36,2,1977,4,4,4,0,4,3,40,2,1,1,3,1,1,1,2,0,0,1,0
1,36,2,12612,1,2,1,0,4,3,47,2,2,1,2,2,1,1,2,0,0,1,0
3,12,4,2012,4,3,4,0,2,2,61,2,1,1,2,1,0,1,1,0,1,0,0
2,15,2,392,0,1,4,0,4,1,23,2,0,1,2,1,1,1,1,0,1,0,0
0,36,3,6887,0,2,4,0,3,1,29,1,1,1,2,1,1,1,2,0,0,1,0
0,21,3,3414,0,1,2,0,1,1,26,2,1,2,2,1,0,1,2,0,0,1,0
1,9,4,1501,0,4,2,0,3,2,34,2,1,2,3,1,1,1,2,0,1,0,0
3,9,4,936,2,4,4,0,2,2,52,2,1,2,2,1,1,1,1,0,0,1,0
0,12,2,1200,4,2,4,0,4,1,23,0,0,1,2,1,1,1,1,0,1,0,0
3,12,4,2748,0,4,2,0,4,3,57,0,2,3,1,1,0,1,1,0,1,0,0
3,12,4,701,0,2,4,0,2,2,32,2,1,2,2,1,0,1,1,0,0,1,0
3,18,4,1864,1,2,4,0,2,0,30,2,1,2,2,1,0,1,2,0,1,0,0
1,24,4,5743,0,1,2,0,4,3,24,2,2,2,2,1,1,1,1,0,1,0,0
1,9,4,1136,3,4,4,0,3,3,32,2,2,2,2,2,0,1,2,0,0,1,0
3,10,2,727,2,4,4,0,4,3,46,2,2,1,2,1,1,1,1,0,0,1,0
1,18,2,1239,4,2,4,0,4,3,61,2,2,1,2,1,0,1,1,0,0,1,0
1,39,3,11760,1,3,2,0,3,3,32,2,0,1,2,1,1,1,1,0,0,1,0
0,18,3,8471,4,2,1,0,2,2,23,2,0,2,2,1,1,1,1,0,1,0,0
3,12,2,719,0,4,4,0,4,2,41,0,1,1,1,2,0,1,2,0,0,1,0
3,9,4,1244,4,4,4,0,4,1,41,2,0,2,1,1,0,1,1,0,1,0,0
0,6,2,448,0,1,4,0,4,1,23,2,1,1,2,1,0,1,2,0,1,0,0
3,15,4,1532,1,2,4,0,3,2,31,2,1,1,2,1,0,1,1,0,1,0,0
1,36,2,2273,0,3,3,0,1,2,32,2,1,2,2,2,0,1,1,0,0,1,0
2,21,4,2319,0,1,2,0,1,2,33,2,0,1,2,1,0,1,2,1,0,0,0
1,9,2,1199,0,3,4,0,4,1,67,2,1,2,3,1,1,1,1,0,1,0,0
3,24,4,1927,4,2,3,0,2,2,33,2,1,2,2,1,1,1,1,0,1,0,0
1,24,1,1837,0,3,4,0,4,3,34,0,2,1,1,1,0,1,2,0,1,0,0
3,9,2,3832,4,4,1,0,4,0,64,2,1,1,1,1,0,1,1,0,0,1,0
3,12,2,1393,0,4,4,0,4,1,47,0,1,3,2,2,1,1,1,0,0,1,0
0,18,2,750,0,0,4,0,1,0,27,2,1,1,0,1,0,1,2,0,1,0,0
3,15,2,4623,1,2,3,0,2,1,40,2,1,1,3,1,1,1,2,0,0,1,0
0,12,2,684,0,2,4,0,4,2,40,2,0,1,1,2,0,1,2,0,0,1,0
0,48,2,7476,0,3,4,0,1,3,50,2,2,1,3,1,1,1,1,0,0,1,0
2,6,4,1047,0,2,2,0,4,1,50,2,1,1,1,1,0,1,1,0,1,0,0
3,6,2,1538,0,1,1,0,2,3,56,2,1,1,2,1,0,1,1,0,1,0,0
2,15,2,1905,0,4,4,0,4,2,40,2,0,1,3,1,1,1,1,0,0,1,0
0,6,1,1198,0,4,4,0,4,3,35,2,2,1,2,1,0,1,2,0,1,0,0
1,6,1,433,3,1,4,0,2,1,24,0,0,1,2,2,0,1,2,0,1,0,0
0,36,4,8065,0,2,3,0,2,3,25,2,1,2,3,1,1,1,2,0,1,0,0
1,48,3,6224,0,4,4,0,4,3,50,2,2,1,2,1,0,1,2,0,0,1,0
0,40,4,5998,0,2,4,0,3,3,27,0,1,1,2,1,1,1,2,0,0,1,0
3,24,4,1597,0,4,4,0,4,3,54,2,2,2,2,2,0,1,1,0,0,1,0
0,12,2,795,0,1,4,0,4,1,53,2,1,1,2,1,0,1,2,0,1,0,0
1,36,2,3711,4,2,2,0,2,2,27,2,1,1,2,1,0,1,1,0,0,0,1
1,60,2,6288,0,2,4,0,4,3,42,2,2,1,2,1,0,1,2,0,0,1,0
3,12,4,3565,4,1,2,0,1,1,37,2,1,2,1,2,0,1,1,0,0,1,0
