Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
0,42,2,7882,0,3,2,2,4,1,45,2,2,1,2,2,0,1,1,0,0,1,0
3,24,2,2835,2,4,3,0,4,1,53,2,1,1,2,1,0,1,1,0,0,1,0
3,10,4,2069,4,2,2,0,1,2,26,2,1,2,2,1,0,0,1,0,0,0,1
0,6,2,1374,0,2,1,0,2,0,36,0,1,1,1,1,1,1,1,0,0,1,0
0,24,2,4020,0,2,2,0,2,2,27,1,1,1,2,1,0,1,1,0,0,1,0
2,12,2,1474,0,1,4,0,1,1,33,0,1,1,3,1,1,1,1,0,1,0,0
1,24,3,2333,4,1,4,0,2,1,29,0,1,1,1,1,0,1,1,0,0,1,0
0,36,4,6229,0,1,4,1,4,3,23,2,0,2,1,1,1,1,2,0,1,0,0
1,30,2,3832,0,1,2,0,1,1,22,2,1,1,2,1,0,1,1,0,0,0,1
1,18,4,1295,0,1,4,0,1,1,27,2,1,2,2,1,0,1,1,0,1,0,0
2,24,4,3617,4,4,4,1,4,3,20,2,0,2,2,1,0,1,1,0,0,1,0
1,9,4,1919,0,3,4,0,3,2,35,2,0,1,2,1,1,1,1,0,0,1,0
0,24,2,7721,4,1,1,0,2,1,30,2,1,1,2,1,1,0,1,0,1,0,0
0,10,4,2132,4,1,2,1,3,0,27,2,0,2,2,1,0,0,1,0,1,0,0
0,33,4,4281,2,2,1,0,4,2,23,2,1,2,2,1,0,1,2,0,1,0,0
3,12,2,1768,0,2,3,0,2,0,24,2,0,1,1,1,0,1,1,0,0,1,0
1,18,2,1924,4,1,4,0,3,0,27,2,0,1,2,1,0,1,2,0,1,0,0
3,15,2,2708,0,1,2,0,3,1,27,0,1,2,1,1,0,1,1,0,0,1,0
3,18,2,1984,0,2,4,0,4,3,47,0,2,2,2,1,0,1,1,0,0,1,0
0,18,2,2462,0,2,2,0,2,2,22,2,1,1,2,1,0,1,2,0,0,1,0
3,21,4,2288,0,1,4,0,4,1,23,2,1,1,2,1,1,1,1,0,1,0,0
0,36,4,5371,0,2,3,2,2,1,28,2,1,2,2,1,0,1,1,0,0,1,0
0,12,2,1282,0,2,2,0,4,2,20,2,0,1,2,1,0,1,2,0,1,0,0
3,6,2,2978,2,2,1,0,2,2,32,2,1,1,2,1,1,1,1,0,0,1,0
0,18,2,1131,0,0,4,0,2,2,33,2,1,1,2,1,0,1,2,0,1,0,0
1,11,2,1577,3,1,4,0,1,0,20,2,1,1,2,1,0,1,1,0,1,0,0
3,24,2,3972,0,3,2,0,4,1,25,2,0,1,2,1,1,1,1,0,1,0,0
3,12,2,763,0,2,4,0,1,0,26,2,1,1,2,1,1,1,1,0,1,0,0
1,24,3,2064,0,0,3,0,2,1,34,2,1,1,3,1,1,1,2,0,1,0,0
0,12,2,2577,0,2,2,0,1,2,42,2,1,1,2,1,0,1,1,1,0,0,0
3,24,4,3777,3,2,4,0,4,0,50,2,1,1,2,1,1,1,1,0,0,1,0
1,18,0,3244,0,2,1,0,4,2,33,0,1,2,2,1,1,1,1,0,1,0,0
1,12,2,951,1,1,4,0,4,2,27,0,0,4,2,1,0,1,2,0,1,0,0
1,18,3,4297,0,4,4,0,3,3,40,2,1,1,3,1,1,1,2,1,0,0,0
3,12,4,1935,0,4,4,0,4,0,43,2,1,3,2,1,1,1,1,0,0,1,0
0,24,2,3021,0,2,2,0,2,0,24,2,0,1,1,1,0,1,1,1,0,0,0
0,12,2,7865,0,4,4,0,4,3,53,2,2,1,3,1,1,1,2,0,0,1,0
0,24,2,3149,0,1,4,0,1,3,22,0,2,1,2,1,0,1,1,0,0,1,0
2,24,2,1925,0,2,2,0,2,0,26,2,1,1,2,1,0,1,1,0,0,1,0
2,12,2,2251,0,2,1,0,2,2,46,2,1,1,1,1,0,1,1,0,1,0,0
3,24,3,4151,1,2,2,0,3,1,35,2,1,2,2,1,0,1,1,0,0,1,0
1,9,2,2030,4,3,2,0,1,2,24,2,1,1,2,1,1,1,1,0,0,1,0
0,12,2,1657,0,2,2,0,2,0,27,2,1,1,2,1,0,1,1,0,0,1,0
3,12,4,1402,2,3,3,0,4,2,37,2,0,1,2,1,1,1,1,0,1,0,0
0,12,2,1262,4,4,2,0,4,1,49,2,1,1,1,1,1,1,1,1,0,0,0
3,6,2,4611,0,1,1,0,4,1,32,2,1,1,2,1,0,1,2,0,1,0,0
3,12,2,1574,0,2,4,0,2,0,50,2,1,1,2,1,0,1,1,0,0,1,0
3,15,4,1520,4,4,4,0,4,1,63,2,1,1,2,1,0,1,1,0,0,1,0
1,48,2,9960,0,1,1,0,2,2,26,2,1,1,2,1,1,1,2,0,1,0,0
3,18,2,2515,0,2,3,0,4,0,43,2,1,1,2,1,1,1,1,0,0,1,0
1,21,4,2745,3,3,3,0,2,2,32,2,1,2,2,1,1,1,1,0,0,1,0
3,6,2,1543,3,2,4,0,2,0,33,2,1,1,2,1,0,1,1,1,0,0,0
1,8,2,1237,0,2,3,0,4,0,24,2,1,1,2,1,0,1,2,0,1,0,0
3,24,2,5511,1,2,4,0,1,2,25,1,1,1,2,1,0,1,1,0,0,1,0
2,24,2,3749,0,1,2,0,4,2,26,2,1,1,2,1,0,1,1,0,1,0,0
0,36,1,2746,0,4,4,0,4,2,31,0,1,1,2,1,0,1,2,0,0,1,0
0,12,2,708,0,2,2,2,3,1,38,2,1,1,1,2,0,1,1,0,0,1,0
1,24,2,4351,4,2,1,0,4,1,48,2,1,1,1,1,1,1,1,0,1,0,0
0,15,3,3643,0,4,1,0,4,1,27,2,1,2,1,1,0,1,1,0,1,0,0
0,18,2,2659,3,2,4,0,2,2,28,2,1,1,2,1,0,1,1,0,0,1,0
3,12,4,5801,4,4,2,0,4,1,49,2,0,1,2,1,1,1,1,0,0,1,0
0,24,0,4110,0,4,3,0,4,3,23,0,0,2,2,2,0,1,2,0,0,1,0
0,6,4,3384,0,2,1,0,4,0,44,2,0,1,3,1,1,1,2,1,0,0,0
0,24,2,4169,0,2,4,0,4,1,28,2,1,1,2,1,0,1,1,0,0,1,0
1,10,2,1521,0,2,4,0,2,2,31,2,1,1,1,1,0,1,1,1,0,0,0
0,21,2,3599,0,3,1,0,4,2,26,2,0,1,1,1,0,1,1,0,1,0,0
1,9,2,959,0,2,1,0,2,2,29,2,1,1,2,1,0,0,2,0,1,0,0
0,30,2,2406,0,3,4,0,4,0,23,2,0,1,2,1,0,1,2,0,1,0,0
3,6,2,1766,0,2,1,0,2,1,21,2,0,1,2,1,0,1,1,0,0,0,1
0,18,2,2473,0,0,4,0,1,2,25,2,1,1,0,1,0,1,2,0,0,1,0
