Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
0,8,4,1164,0,4,3,0,4,3,51,0,2,2,3,2,1,1,1,0,0,1,0
0,24,2,1755,0,4,4,2,4,0,58,2,1,1,1,1,1,1,1,0,1,0,0
1,24,4,11938,0,2,2,1,3,2,39,2,1,2,3,2,1,1,2,0,0,1,0
1,48,3,7582,1,0,2,0,4,3,31,2,2,1,3,1,1,1,1,0,0,1,0
1,48,2,5381,4,0,3,0,4,3,40,0,2,1,0,1,1,1,1,0,0,1,0
1,60,1,14782,1,4,3,0,4,3,60,0,2,2,3,1,1,1,2,0,1,0,0
1,24,2,11328,0,2,2,1,3,2,29,0,1,2,3,1,1,1,2,0,0,1,0
1,20,3,2629,0,2,2,0,3,2,29,0,1,2,2,1,1,1,1,0,0,1,0
0,24,1,1358,4,4,4,0,3,2,40,1,1,1,3,1,1,1,2,0,0,1,0
3,24,4,6314,0,0,4,1,2,3,27,0,1,2,3,1,1,1,1,0,0,1,0
0,36,2,15857,0,0,2,1,3,2,43,2,1,1,3,1,0,1,1,1,0,0,0
1,48,0,18424,0,2,1,0,2,1,32,0,1,1,3,1,1,0,2,0,1,0,0
