Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
0,6,4,1169,4,4,4,0,4,0,67,2,1,2,2,1,1,1,1,0,0,1,0
1,48,2,5951,0,2,2,0,2,0,22,2,1,1,2,1,0,1,2,0,1,0,0
3,12,2,3059,3,3,2,0,4,0,61,2,1,1,1,1,0,1,1,1,0,0,0
1,12,2,1567,0,2,1,0,1,2,22,2,1,1,2,1,1,1,1,0,1,0,0
0,24,2,1282,1,2,4,0,2,2,32,2,1,1,1,1,0,1,2,0,1,0,0
3,24,4,2424,4,4,4,0,4,1,53,2,1,2,2,1,0,1,1,0,0,1,0
3,24,2,3430,2,4,3,0,2,2,31,2,1,1,2,2,1,1,1,0,0,1,0
0,6,2,2647,2,2,2,0,3,0,44,2,0,1,2,2,0,1,1,0,0,1,0
3,6,0,426,0,4,4,0,4,2,39,2,1,1,1,1,0,1,1,0,0,0,1
2,12,1,409,3,2,3,0,3,0,42,2,0,2,2,1,0,1,1,0,1,0,0
1,7,2,2415,0,2,3,2,2,0,34,2,1,1,2,1,0,1,1,0,0,1,0
1,45,4,4746,0,1,4,0,2,1,25,2,1,2,1,1,0,1,2,0,0,1,0
2,18,2,2100,0,2,4,1,2,0,37,1,1,1,2,1,0,1,2,0,0,1,0
1,9,2,458,0,2,4,0,3,0,24,2,1,1,2,1,0,1,1,0,0,1,0
3,30,2,2333,2,4,4,0,2,2,30,0,1,1,3,1,0,1,1,0,0,1,0
1,12,2,1158,2,2,3,0,1,2,26,2,1,1,2,1,1,1,1,1,0,0,0
3,36,2,2299,2,4,4,0,4,2,39,2,1,1,2,1,0,1,1,0,0,1,0
3,12,2,2073,1,2,4,1,2,0,28,2,1,1,2,1,0,1,1,0,1,0,0
3,12,2,1262,0,2,3,0,2,2,25,2,1,1,2,1,0,1,1,0,0,1,0
1,12,2,6468,4,0,2,0,1,3,52,2,1,1,3,1,1,1,2,0,0,1,0
3,36,4,9566,0,2,2,0,2,2,31,1,1,2,2,1,0,1,1,0,1,0,0
1,15,4,1537,4,4,4,2,4,0,50,2,1,2,2,1,1,1,1,0,0,1,0
3,24,2,3181,0,1,4,0,4,1,26,2,1,1,2,1,1,1,1,0,1,0,0
3,12,2,2171,0,1,2,0,2,2,29,0,1,1,2,1,0,1,1,0,1,0,0
3,36,2,2394,4,2,4,0,4,2,25,2,1,1,2,1,0,1,1,0,1,0,0
3,7,4,730,4,4,4,0,2,1,46,2,0,2,1,1,1,1,1,0,0,1,0
0,42,2,3965,0,1,4,0,3,2,34,2,1,1,2,1,0,1,2,0,0,1,0
1,11,3,4771,0,3,2,0,4,1,51,2,1,1,2,1,0,1,1,0,0,1,0
3,24,2,5943,4,1,1,0,1,2,44,2,1,2,2,1,1,1,2,0,1,0,0
3,15,2,1213,2,4,4,0,3,1,47,1,1,1,2,1,1,1,1,0,0,1,0
0,10,2,2315,0,4,3,0,4,0,52,2,1,1,1,1,0,1,1,0,0,1,0
3,12,4,618,0,4,4,0,4,0,56,2,1,1,2,1,0,1,1,0,0,1,0
3,12,4,797,4,4,4,0,3,1,33,0,1,1,1,2,0,1,2,0,1,0,0
1,36,4,2337,0,4,4,0,4,0,36,2,1,1,2,1,0,1,1,0,0,1,0
1,36,2,2323,0,3,4,0,4,2,24,2,0,1,2,1,0,1,1,0,0,1,0
3,6,3,932,0,2,3,0,2,0,24,2,1,1,2,1,0,1,1,0,1,0,0
0,12,2,1680,2,4,3,0,1,0,35,2,1,1,2,1,0,1,1,0,0,0,1
3,48,4,3578,4,4,4,0,1,0,47,2,1,1,2,1,1,1,1,0,0,1,0
0,42,2,7174,4,3,4,0,3,2,30,2,1,1,3,1,1,1,2,0,1,0,0
0,21,2,1835,0,2,3,0,2,0,25,2,1,2,2,1,1,1,2,0,1,0,0
0,12,2,701,0,2,4,0,2,0,40,2,1,1,1,1,0,1,1,0,0,0,1
3,60,2,10144,1,3,2,0,4,0,21,2,1,1,2,1,1,1,1,0,1,0,0
3,12,4,1240,4,4,4,0,2,0,38,2,1,2,2,1,1,1,1,0,1,0,0
1,12,2,766,2,2,4,0,3,0,66,2,1,1,1,1,0,1,2,0,0,1,0
1,15,4,2728,4,3,4,2,2,0,35,0,1,3,2,1,1,1,1,0,0,1,0
2,12,2,1881,0,2,2,0,2,2,44,2,0,1,1,1,1,1,1,0,1,0,0
1,36,2,4795,0,1,4,0,1,3,30,2,1,1,3,1,1,1,1,0,1,0,0
0,27,2,3416,0,2,3,0,2,2,27,2,1,1,3,1,0,1,1,0,0,1,0
3,18,4,1582,3,4,4,0,4,2,46,2,1,2,2,1,0,1,1,0,0,1,0
3,6,2,1346,1,4,2,0,4,3,42,0,2,1,2,2,1,1,1,0,0,1,0
3,10,2,1924,0,2,1,0,4,1,38,2,1,1,2,1,1,0,1,0,0,1,0
2,36,2,5848,0,2,4,0,1,2,24,2,1,1,2,1,0,1,1,0,0,1,0
3,6,4,1898,4,2,1,0,2,0,34,2,1,2,1,2,0,1,1,0,0,1,0
3,24,4,2872,1,4,3,0,4,0,36,2,1,1,2,2,1,1,1,0,0,1,0
1,8,2,1414,0,2,4,2,2,0,33,2,1,1,2,1,0,0,1,0,0,1,0
0,6,4,338,2,4,4,0,4,2,52,2,1,2,2,1,0,1,1,0,0,1,0
