Status checking,Duration in month,Credit history,Credit amount,Savings account,Present employment,Installment rate %,Other debtors,Present residence,Property,Age in years,Other installment plans,Housing,# Existing credits,Job,# Dependents,Telephone,Foreign worker,Class,Male div,Female div/mar,Male sing,Male mar/wid
1,18,3,6204,0,2,2,0,4,0,44,2,1,1,1,2,1,1,1,0,0,1,0
3,27,2,5190,4,4,4,0,4,1,48,2,1,4,2,2,1,1,1,0,0,1,0
0,12,0,1108,0,3,4,0,3,0,28,2,1,2,2,1,0,1,2,0,0,1,0
1,12,2,639,0,2,4,0,2,2,30,2,1,1,2,1,0,1,2,0,0,1,0
0,9,4,1288,1,4,3,2,4,0,48,2,1,2,2,2,0,0,1,0,0,1,0
3,36,0,2613,0,2,4,0,2,2,27,2,1,2,2,1,0,1,1,0,0,1,0
0,30,2,11998,0,1,1,0,1,3,34,2,1,1,1,1,1,1,2,1,0,0,0
0,18,4,1190,0,0,2,0,4,3,55,2,2,3,0,2,0,1,2,0,1,0,0
3,24,4,2058,0,2,4,0,2,0,33,2,1,2,2,1,1,1,1,1,0,0,0
3,6,2,660,2,3,2,0,4,0,23,2,0,1,1,1,0,1,1,0,0,0,1
0,42,4,3394,0,0,4,1,4,2,65,2,1,2,0,1,0,1,1,0,0,1,0
1,15,3,1512,3,2,3,0,3,1,61,1,1,2,2,1,0,1,2,0,0,0,1
3,24,4,5507,0,4,3,0,4,3,44,2,2,2,2,1,0,1,1,0,0,1,0
3,12,4,996,4,3,4,0,4,0,23,2,1,2,2,1,0,1,1,0,1,0,0
1,36,2,2384,0,1,4,0,1,3,33,2,0,1,1,1,0,1,2,0,0,1,0
1,15,2,1308,0,4,4,0,4,2,38,2,1,2,1,1,0,1,1,0,0,1,0
1,15,2,2631,1,2,3,0,2,0,25,2,1,1,1,1,0,1,1,0,1,0,0
3,12,3,1555,3,4,4,0,4,3,55,2,2,2,2,2,0,1,2,0,0,1,0
1,18,2,3872,0,0,2,0,4,2,67,2,1,1,2,1,1,1,1,0,1,0,0
3,18,2,1943,0,1,4,0,4,0,23,2,1,1,2,1,0,1,2,0,1,0,0
1,6,2,454,0,1,3,0,1,1,22,2,1,1,1,1,0,1,1,0,0,0,1
1,15,2,1514,1,2,4,2,2,0,22,2,1,1,2,1,0,1,1,0,0,1,0
